"","first_name","last_name","height","weight","position","profile","strengths","weaknesses","player","bottom_line"
"11","Jack","Plummer","6'5”","211","Quarterback","Plummer is a college football journeyman who played for three programs across six seasons. He stands tall in the pocket at 6-foot-4 and has good finesse for a big quarterback. His touch passes are some of the best in the class — over the middle, to the sideline and at the intermediate and deep levels of the field. He can really drop passes in a bucket. But that was out of necessity rather than him showing off true arm control, as he has below-average NFL arm strength. His accuracy numbers are good, but his true ball placement is lacking. Plummer also needs to more consistently step up in the pocket instead of retreating. ","Tape features some excellent touch throws to the sideline and over the middle. His process looks great when he goes through progressions correctly. Has a full follow-through on touch passes. ","While his accuracy scores are good, true ball placement is lacking. Misses high quite a bit. Does not step up in the pocket consistently when he needs to. Tends to retreat naturally. Arm power is well below the NFL average, even on on-platform throws. ","Jack Plummer","Plummer has some of the best touch throws in the class, but when asked to fire up the arm strength to an NFL level, he leaves you wanting more. He is likely a practice squad or depth quarterback in the NFL."
"12","Michael","Pratt","6'3”","217","Quarterback","Pratt won't ""wow"" you with arm talent, but he does make up for that with clean fundamentals. His feet are light and his follow-through is consistent. After suffering a knee injury that kept him out three games in 2023, he did not return the same player. His velocity and power decreased when throwing, and his accuracy was off. His hands are small, which does cause some wobble in his throws. At times, he demonstrates how to manipulate coverages, but his decision-making can still be a tad slow. He also is quicker to take off and run than he needs to be. When attacking the middle of the field, he can hit vertical (seam) and horizontal (dig) routes. ","Very clean fundamentals. Touch passes are a strength of his game —he's not afraid to put some air under his passes for his receivers. Not afraid to look to the middle of the field for seam or dig routes. Got better/more consistent manipulating coverage with his eyes in 2023. ","Ball does wobble, at times, due to smaller hands. Arm strength is average. He has to really lean back to put distance on deeper passes. Chooses to take off and run instead of hitting shorter passes. ","Michael Pratt","Pratt's clean fundamentals and impressive touch throws make him an intriguing quarterback, even with smaller measurables. His arm strength limits his ability to push the ball vertically, but he has a good enough feel for the game to garner a potential starter label."
"13","Spencer","Rattler","6'0”","211","Quarterback","Rattler's time at Oklahoma was a roller coaster of high and low plays, but since transferring to South Carolina, he has become a more mature player. His preferred style comes in a shotgun system (over 85% of his snaps) with spread formations. He has adequate arm talent for the NFL level, though his velocity isn't the top tier. He has clean fundamentals, especially in his lower half. His protection was terrible in 2023, as he was pressured on almost 40% of his dropbacks. Despite that, his pocket presence is at an NFL level. Though he sees coverage well, he does struggle to see secondary defenders (LBs and safeties). ","Really good footwork — feet are light and bouncy, a good base to start his throwing motion. Not much of a rushing threat, but he has a good enough feel for the pocket/coverage to take yards with his legs when presented. Pocket presence is much improved from his Oklahoma days. Conscious to reset once moved off his spot. Not afraid to attack over the intermediate middle of the field. ","Accuracy is good, but ball placement isn't at an elite/special level. Almost exclusively a shotgun quarterback. Arm talent is adequate, not top-tier. Struggles to see additional coverage players (LBs and safeties) beyond the primary player guarding his receiver. Post-snap decision-making is still improving (where to scramble, where to look, timing of getting to his next read, etc.). ","Spencer Rattler","Rattler has a mature game with fundamentals and pocket presence, in addition to good accuracy in and out of structure. His arm is adequate, but he needs to continue to improve at seeing additional coverage defenders post-snap. He projects as a Day 2 QB with starting potential."
"14","Austin","Reed","6'2”","215","Quarterback","Reed wasn't always destined for the NFL. As a zero-star recruit, he went from Southern Illinois to West Florida before landing at WKU for his final two years. He is a confident player who will set and make tight-window throws on different platforms. He oozes that ""gamer"" vibe. His lack of arm talent was the main reason he was under-recruited. He has clean throwing mechanics, helping maximize velocity and distance. But even then, he has to put his whole body into throws to generate enough velocity. He throws the fastball too much, as touch passes are not his game. His ball placement is also erratic (likely stemming from full-body throws). ","""Gamer"" type of quarterback. He is willing to throw off-platform and outside the offense's structure. Clean follow-through on his throwing motion leads to some pretty passes, which helps make up for his lack of true arm strength. Confident passer in WKU's offense. Willing to attempt some tight- window intermediate passes. Willing to attack the middle of the field. ","Holds the ball lower when scanning the field. Has a long wind-up. Has below-average arm talent. Puts a lot of his body behind passes to increase their velocity. Every pass is a fastball — struggles when he has to throw with touch. Ball placement is an issue — recorded just a 52.4% adjusted completion percentage beyond five yards. ","Austin Reed","Reed has a moxie that some teams could like enough to make him an early Day 3 pick, but his lack of passing traits and natural touch make him a backup-only player."
"15","Kedon","Slovis","6'3”","223","Quarterback","Slovis is an experienced quarterback who burst onto the scene with an electric true freshman season at USC. Unfortunately, he didn't maintain that level of production and efficiency, which sent him on a college football journey to Pittsburgh and then BYU. Slovis' arm talent is well below average for the NFL level. He has good athletic mobility but fails to make the right reads/plays outside of structure. He also has a bad tendency to drift deeper in the pocket instead of stepping up. Ultimately, his lack of consistent accuracy holds him back from being a rosterable quarterback. ","Decent mobility to get out of the pocket when pressured. Can make nice touch/timing throws to the sideline. Clean and quick upper-body mechanics. ","Struggles to keep composure under pressure. Gets tunnel vision and fails to see additional defenders. Arm talent is below average for the NFL. Natural reaction is to retreat in the pocket instead of stepping up. Follow-through footwork can be erratic, as his leg tends to kick out wide. ","Kedon Slovis","Slovis has ample experience but not enough production, intangibles or passing traits to be a potential starter or preferred backup at the NFL level."
"16","Taulia","Tagovailoa",NA,"208","Quarterback","Tagovailoa transferred to Maryland, where he became a school and conference record holder. His pro traits don't match his college production, though. Taulia is very small compared to other NFL quarterbacks, which leads to a lack of overall arm talent. His throwing mechanics are unorthodox — from his frenetic footwork to his side-armed throwing motion. Though it works at times, its inconsistencies yield far too much variance with ball placement. He does bring mobility for scrambles and extending plays outside the pocket. ","Fiesty player who won't give up on a play until he is brought down. Not afraid to take a deep shot down the sideline. Brings added mobility to extend plays and pick up yards when scrambling. ","Bryce Young-type measurables. Has a side-arm follow-through, which works, at times, but doesn't feel consistent. Long, looping throwing motion (akin to Tim Tebow). Accuracy scores are high, but ball placement is far more inconsistent. ","Taulia Tagovailoa","Tagovailoa is a decent athlete and a fun playmaker out of structure, but his lack of size and true arm talent, coupled with passing inconsistencies, makes him a long shot at the NFL level."
"17","Jordan","Travis","6'1”","200","Quarterback","Travis is a good athlete who can operate an RPO and play- action offense well. His mobility is also a plus for escaping the pocket via scrambles. He is one of the smaller quarterbacks in the class, which brings natural drawbacks. His hand size is concerning when controlling the ball. He also tends to have to put his whole body into throws that require more juice. His follow-through is erratic, as he will kick his leg out like a pitcher to generate more velocity. He has good intangibles. He is accurate and poised when throwing out of structure, and he doesn't mind throwing over the middle, even if he has to be on his toes. ","He has impressive mobility. Footwork is light, as he's constantly bouncing and ready to throw or take off. Keeps his eyes downfield when scrambling. Not afraid to look over the middle despite the lack of size. Accurate thrower from within 50 yards (when his follow-through fundamentals don't betray him). ","Leg kicks out like a pitcher when he's trying to put extra juice on throws. Flicks the wrist sometimes, especially when off-platform, instead of following through. He has to put his whole body into passes that will be regular throws in the NFL. ","Jordan Travis","Travis is a good athlete, a tough competitor, and a QB who has great intangibles for out-of-structure plays. His follow-through fundamentals are a mess, likely due to him needing more power on most throws, which leads to inconsistencies. He is a developmental quarterback who will be a fan favorite no matter where he goes (likely on Day 3)."
"18","Caleb","Quarterback","6'1”","214","Quarterback","Williams thrived over the last three seasons in Lincoln Riley's modernized Air Raid offense. His arm talent is well above average, and his footwork provides him with a good base in addition to additional body control and balance to make off- platform throws. His accuracy is natural and impressive both in and out of structure. Williams can hold onto the ball too long, but that's due to his freedom in a vertical offense rather than an inability to process. His 2023 struggles were due to inconsistency. His fearless confidence does lead to some incorrect decisions, but you live with that due to the magic he makes in similar situations. ","Top-tier arm talent for the NFL level. Incredible off-script passer and playmaker. Footwork is good in its fundamental base Top-tier balance, body control and core strength. Excellent out-of-structure touch. Very competitive player. Better processor/progressions passer than given credit for. Turns into a backyard playmaker when he tucks to run.. ","Has a tendency to look for the ""biggest"" throw instead of the ""best"" throw. His fearlessness is a big positive for huge plays, but it also leads to him holding onto the ball too long. Fewer big-time throws in structure, but that isn't due to a lack of ability. ","Caleb Williams","Williams is an incredibly talented player with natural gifts even other previous QB1s do not have. His issues are more from a lack of consistency than ability in any area. This is a QB with franchise-changing talent that is worthy of a No. 1 overall selection."
"19","Rasheen","Ali",NA,"206","Running Back","Ali has a nice skill set for a zone-blocking scheme. He reads his aiming points and cut-back lanes well and has good one- cut ability to hit open space. He has solid footwork to stay balanced after ankle tackles but lacks the density to bounce off contact. Over the past two seasons, his production beyond his blockers was subpar in the form of yards after contact and missed tackles forced. Though he has good burst, his top speed is limited. ","Good skill set for a zone-blocking scheme. Has good vision/feel for cut-back lanes behind zone blocking. Nice change-of-direction precision and burst. Fast feet to maintain balance after ankle tackles. ","Low individual production beyond his offensive line. Low yards after contact and missed tackles forced averages. Lacks density to truly bounce off tacklers. Pass blocking is still a work in progress. ",NA,"Ali has good vision and one-cut ability to succeed as a depth player in a zone-blocking scheme."
"20","Braelon","Allen","6'1”","235","Running Back","Allen will be one of the youngest players in the 2024 draft, 20 years old on draft weekend. His size pops out immediately at 6-foot-2 and 245 pounds. If you try to tackle him high, he'll bounce right off you with good tackle-breaking ability. He has nimble feet and impressive burst for his size. His long speed is also fine. His vision and decision-making are inconsistent, as he cuts in when he should bounce out and vice versa. For third-down abilities, his hands are good enough to be a receiving option, but his route diversity out of the backfield is limited. He has the size to be a good pass protector but needs more consistency there as well. ","He is a very good linear athlete for his size. Explosiveness and top speed are NFL caliber, even without weight adjustments. Can't bring him down if you hit him high. Pass protection potential is a big plus. Not used as a receiver much but had some nice grabs (a few one -handed ones). ","Not a one-cut back in space. Vision and feel for open space can be inconsistent. Usage and route diversity are very limited. ",NA,"Allen is a super-sized running back prospect and will likely be a mid-round pick due to that and his age alone. However, his decision-making and feel for space leave much to be desired when separating his success from his offensive line."
"21","Trey","Benson","6'0”","216","Running Back","Benson's track speed shows up immediately on tape, as his acceleration and top speed are both excellent. His explosiveness allows him to covert speed-to-power to break tackles. He is a bit stiff when it comes to changing direction and agility. His athletic advantage is a good thing, but it does affect his mentality, vision and patience for rush lanes. He is overeager to get to the sideline and outrun defenders rather than find a cutback lane. This works at the college level but won't be as effective in the NFL. As a pass catcher, he does let passes come into his body but is an option as a third- down back due to his pass-protection abilities. ","Powerful build — good size/strength in his legs, Explosive athlete with difference-making burst and top speed, Can convert speed-to-power quickly for yards after contact. Fundamentally sounds pass blocker with a good base and the strength to hold up. ","A little stiff in his lateral movements. Base is narrow, which makes it easier for him to get tripped up. High missed tackles forced is more about speed-to-power and erasing pursuit angles than it is one-cut elusiveness. Is an athlete first, so he tends to miss open cutback lanes in favor of getting to the sideline as soon as possible. Let passes get into the body. ",NA,"Benson brings NFL build and athleticism to the table in all categories of explosiveness, but he is too focused on his athletic abilities and needs more patience in order to maximize his athletic gifts and be more than a committee running back."
"22","Jonathon","Brooks","6'0”","216","Running Back","Brooks, a decorated Texas high school football player, had to wait his turn behind the likes of Bijan Robinson and Roschon Johnson before taking over as the Longhorns’ lead back in 2023. The wait appeared to be worth it, as he looked like a future NFL star as just a redshirt sophomore. While his footwork isn’t quite Robinson’s level, he can cut/change direction/avoid tacklers very quickly and has an explosive first step. He isn’t a nuanced route runner, but he has good hands and showcased his ability to force missed tackles as a receiver. The only glaring negative on his scouting report is a torn ACL in 2023 that ended his lone season as a starter. ","Impressive wiggle for a back of his size. Nice footwork and change-of-direction for a back over 200 lbs. Good vision/feel for zone-blocking schemes. Contact balance is great at high and low speeds. Natural instincts for forcing missed tackles. Long speed isn't elite, but the burst is at his size. Natural hands in the receiving game. - Has the footwork and strength/balance to be a reliable blocker. ","North-to-south tendency is good, but that has given him tunnel vision, at times. Hands are good as a receiver, but he doesn't have much nuance in routes before the ball. ",NA,"Brooks is an ideal blend of size, speed, strength and agility. Though limited in snap totals, he has good vision in both gap and zone run schemes. If he can get back to form following his torn ACL, he has all the goods to be a starting running back in the NFL."
"23","Blake","Corum","5'8”","205","Running Back","Corum was one of the most productive backs in the country in 2022, and he was on his way to being a top-75 selection had he not torn his meniscus late in the season. He comes in a smaller size at 5-foot-8 but weighs around 210 pounds. The smaller frame means he has shorter strides, which does affect his overall long speed and sideline ability. However, they also help yield his calling card as a back: his precise footwork and elite short-area explosiveness. As a pass catcher, he has very natural hands. In pass protection, he is willing, but his lack of size causes him to be overwhelmed, at times. ","Great center of gravity when taking on contact. Shorter frame allows him to be precise and explosive when putting his foot in the ground to burst or change direction. Very natural hands as a receiver. Smaller frame allows him to ""get skinny"" between the tackles Controlled, precise footwork behind the LOS and in space. Patience is a huge plus in his game. Willing as a blocker. Uses size for a leverage advantage. ","Leg stride length affects his overall long speed. Just doesn't have that get-away top speed. Can be overwhelmed in pass protection. ",NA,"Corum was not as efficient in the individual metrics of running back play after his meniscus tear, but the traits of an effective back were present in 2023, specifically toward the end of the season. He lacks elite overall athleticism but is precise, sees the field well, has good contact balance and brings good third- down abilities, which should yield a contributing role in the NFL."
"24","Isaiah","Davis","6'0”","218","Running Back","Davis was a tough matchup for FCS opponents, as he is big and elusive. His size allows him to bounce off tackles and lower his shoulders with power, and his feet are impressively light for his size. He is a patient runner, especially behind zone blocking, and has a good feel for cut-back lanes and space. His preferred running style is that of a ""make you miss"" player, which is both a pro and con. The pro is obviously the missed tackles, and the con is that he doesn't run with a north-to-south violence. He has good hands as a receiver, but his pass protection is a work in progress. ","Patient player with a good understanding of zone blocking schemes. Light on his feet for a player well above the 50th percentile in height and weight. Good wiggle to make players miss in space. Can make an impact in the receiving game. ","Doesn’t run as violently as he could. Not that he won't be physical, but he oesn't go all out north to south. Lacks the sideline athleticism needed for bouncing plays outside as much as he does. ",NA,"Davis brings a finesse game in a power frame. If he can run with more violence from north to south, he can be a reliable option in a two-back offense."
"25","Ray","Davis","5'8”","211","Running Back","Davis is short, which affects his overall speed, but he has a great center of gravity in addition to nimble and balanced footwork. He also has a quick first step to accelerate and fantastic vision, especially when running behind a zone- blocking scheme. As a third-down back, he has good hands and brings that one-cut agility to routes out of the backfield. When it comes to pass protection, he is a willing blocker who has good fundamentals but is often overpowered. ","Quick player with fast footwork. Good one-cut ability. Good lateral ability extends into routes out of the backfield as well. Playmaker mentality in space — wants to make defenders miss. Really nice vision for both gap and zone, but he is most productive when running zone concepts. Good hands catcher. Really good feel for space, blocking, where his help is, etc. ","Long speed will be average at best — likely below average. Can get overwhelmed in pass protection. ",NA,"Davis might not have the build and long speed of a back drafted in the top 50, but his vision, feel for space/blocking and one-cut ability make him an efficient ball carrier with good hands in the passing game. This should make him a mid-round selection and potential starter."
"26","Audric","Estime",NA,"221","Running Back","At nearly 230 pounds, Estime is tough between the tackles. Once he gets up to speed, he's a load to bring down, especially since his big legs continue to churn after contact for an impressive yards-after-contact rate. The finesse parts of his game are limited. His burst and long speed will be merely average compared to other NFL backs, and though he is nimble behind the line of scrimmage, changing direction once up to speed takes multiple steps. As for third down, he was not used much as a receiver, but his pass-protection potential is good due to his size and strength. A big plus is he will be just 20 years old on draft weekend. ","Great build for a back — powerful player who can take hits and deal them out. His legs are constantly churning, even after contact. Takes ball security very seriously. Pretty light on his feet for a player who is pushing 230 pounds. Has the ability to dance and cut behind the line of scrimmage. Has the size and strength to be a third-down back in pass pro. ","Burst is middling, especially when compared to NFL backs. Won't be a home run back in the NFL due to average long speed. Stiff change of direction when he gets up to speed, as it takes multiple steps. Lacks the lateral ability to really succeed on zone concepts. Blocking could use more polished technique. ",NA,"Estime's power profile should yield some sort of committee work at the NFL level, as he is built for it. However, his lack of finesse and speed likely limits him to a short-yardage specialist."
"27","Frank","Gore Jr.","5'8”","201","Running Back","Gore's best trait is his vision, as he displays notable patience behind the line of scrimmage while anticipating open space/blocking concepts well. He has quick, precise footwork that allows him to find small holes and rush lanes, in addition to making defenders miss at the line of scrimmage. Small in stature, he is a limited athlete in terms of burst and long speed. He is also unreliable in pass protection against NFL-caliber blitzers. ","Very good patience and vision. Experience is evident on his tape. Quick, explosive footwork. Good one-cut ability for forcing missed tackles. ","Shorter strides limit top speed. When he reaches open space, he doesn't have the top gear to get away. One-cut ability is nice, but his burst and acceleration are limited. Broke away from arm tackles at the C-USA level, but he likely doesn't have the size to do so in the NFL. Pass protection is unreliable against good blitzers. ",NA,"Gore's vision and feel for the game are good enough to have him fighting for a roster spot at the next level, but his limited athleticism could force him into a depth rotational role."
"28","Isaac","Guerendo","6'0”","221","Running Back","Though Guerendo is built like a Wisconsin back, he didn't get much of a chance to showcase that. He was primarily used as a third-down back, which helped him hone his pass-blocking and pass-catching abilities. Though he is big and fast, he doesn't run with the violence you'd expect. He can bounce off tackles, but he doesn't always run with an imposing style. He is also hesitant behind the line of scrimmage. He can erase angles when he gets to the sideline but tries to bounce it there too often. ","Has the size and strength to be a reliable pass protector. Ample experience as a receiver out of the backfield. Brings a wide receiver background from high school. Very explosive straight-line athlete. Likes to get outside and erase angles up the sideline. Good strength and size to bounce off tackles. ","Indecisive at Wisconsin, but he did show more north-to-south urgency at Louisville. Does not run with the level of violence you'd want, given his size. A bit stiff when moving laterally. Too reliant on beating defenders to the sideline — needs to see cut-back lanes better. ",NA,"Guerendo has an NFL-level floor as a third-down back. He must continue to improve his vision and decisiveness to become an early-down contributor."
"29","Bucky","Irving","5'9”","192","Running Back","Bucky Irving's compact build gives way to his most alluring trait: balance. His ability to run through arm tackles and bounce off bigger hits can give him a long career in the NFL. He doesn't have great long speed and won't be outrunning anyone at the sideline, but his footwork is quick, controlled and balanced while his burst is appropriate for his game. He also has very reliable hands out of the backfield, though his pass protection abilities are unreliable. ","Doesn't have the best long speed but does have great burst to hit holes quickly. Fast, controlled, balanced footwork to make defenders miss in phone booth. Natural, reliable hands as a receiver. Nice center of gravity to bounce off tackles, consistently falls forward. Despite his size, he looks for yards between the tackles. ","Very north-to-south runner, which can be good, but there are times when the outside is open but doesn't take it. Not a reliable pass blocker. Does not have getaway speed. ",NA,"Irving might not have the look of a running back that teams will automatically covet on draft weekend, but his tape shows an incredibly efficient player in both the run and pass games."
