"","position","name","college","overview","bottom_line"
"11","QB","Josh Rosen","Ucla","Posted the highest grade in the draft class on intermediate throws. Aggressive thrower in tight windows; works both for and against him. Instinctive passer capable of working full-field progressions. Generally throws with good balance, but capable of throwing accurately when off-platform. Has the full arsenal of throws. Can fire the seam or layer the ball over linebackers. Has a good feel for back-shoulder throws. Ranked eighth in the draft class in big-time throw percentage at 5.72. Ranked only 24th out of 38 draft-class qualifiers at avoiding turnover- worthy throws. Had the 4th-highest percentage of turnover-worthy throws in the red- zone among draft-eligible quarterbacks. Ranked only 24th in the draft class in PFF grading on deep passes.","Seemingly destined for the first round since he stepped onto campus, Rosen put together a strong career at UCLA, though he never truly dominated like a first-round lock should have. Still, he has a good feel for getting the ball down the field and a fearless mentality works both for and against him, as he’ll create big plays while also sprinkling in a few head-scratchers. Overall, Rosen’s top-end plays add enough value that the volatility is worth a shot at the top of the first round."
"12","QB","Mason Rudolph","Oklahoma St.","Posted three straight years with 90.0-plus overall grades Excellent feel, accuracy and timing when throwing outside the numbers. Had the 2nd-highest percentage of positively graded throws in the draft class last season. Posted the highest grade in the draft class on third down and ranked second with a passer rating of 112.2. Posted the No. 2 grade in the nation both from a clean pocket and when pressured. Ranked 5th in the draft class with an adjusted completion percentage of 67.6 percent on intermediate throws. Velocity comes and goes. Will zip some passes while others don’t come out of his hands cleanly. Was a productive deep-ball thrower at Oklahoma State, and had his fair share of highlight-reel throws, but also left too many on the short side. Ranked 16th in the draft class at avoiding turnover-worthy plays.","Rudolph did a fantastic job running Oklahoma State’s offense, but there are plenty of question marks given his NFL-caliber receivers and opposing Big 12 defenses. However, he’s showed the ability to zip the ball outside the numbers while continuing to improve his work in the middle of the field. He could stand to throw a cleaner ball on a down-to-down basis, but Rudolph’s on-field production is too difficult to ignore and he should be in the first-round mix."
"13","QB","Brandon Silvers","Troy","Throws with good touch down the field. Ranked No. 4 in the draft class in PFF grade on deep passes last season. Had the No. 11 grade in the draft class on intermediate throws. Doesn’t have great zip, but can throw with timing and accuracy outside the numbers. Had the 3rd-lowest percentage of turnover-worthy plays in the draft class. Many of his turnover-worthy throws came on ill-advised throws to underneath linebackers. Willing to stand in there and take a hit under pressure and that works both for and against him. Had the 25th-highest PFF grade when facing pressure last season. Ranked only 32nd in the draft-class in positively graded throws, but had the 2nd-lowest percentage of negatively graded throws.","Silvers doesn’t wow with physical tools, but he’s an efficient quarterback ca- pable of winning with timing and accuracy. He landed on the game-manager spectrum, even in college, so that likely limits what he can do at the next level. He makes up for average arm strength with quick decision-making and timing, and there may be a backup role waiting for him at the next level."
"14","QB","Mike White","Wku","Ranked 34th out of 38 qualifiers in PFF grade when facing pressure last season. Maneuvers the pocket well to find room to throw, but struggles to evade rushers. Sacked on 23.0 percent of his pressured drop backs last season, 5th-highest in the class. Willing to make difficult throws under pressure. Posted 11th-highest PFF grade in the draft class on third-/fourth-down situations. Posted 7th-lowest percentage of turnover-worthy plays in the draft class last season. Many of his poor throws are thrown just a tick late and off rhythm. Posted 6th-highest grade in the draft class on deep (20-plus yard) throws. Throws with zip and touch to at the intermediate level.","The 2017 season didn’t start out great for White, who adjusted to a new of- fense, but he improved down the stretch. His 2016 season saw him break out and attack down the field, so the big-play potential is there. White has the arm to win at all levels of the field, but he must be more consistent with his timing and there’s a concern that he can’t make plays outside of structure like other quarterbacks in the draft class. Still, he’s worth a mid-round look as a develop- mental option who has put much more good than bad on tape."
"15","QB","Logan Woodside","Toledo","Ranked 2nd in the draft class with an adjusted completion percentage of 72.6 on intermediate (10-19 yard) throws. Ranked 10th in the draft class with a big-time throw percentage of 5.47. Forces too many throws. Ranked only 21st in the draft class at avoiding turnover-worthy plays at 3.91 percent. Ranked 3rd in the class with an adjusted completion percentage of 51.9 percent on deep passes and ranked 9th in deep passing grade. Good timing and feel for throwing the skinny post. Shows good touch to layer the ball over underneath zone defenders. Will stand in and take a hit in the pocket. Ranked 9th in the draft class in grade while under pressure last season. Has enough mobility to escape the pocket and make plays outside of structure.","Woodside has two strong years of production under his belt and he’s worth a look in the late rounds. He can throw with touch and accuracy in the middle of the field and he has a number of pretty deep passes on film while also showing the willingness to hang in the pocket and make tough throws. That toughness gets the best of him sometimes and he has some poor decisions late in the down and under pressure, but Woodside has the tools to be a solid backup at the next level."
"16","RB","Josh Adams","Notre Dame","Averaged 5.2 yards per carry after contact, the highest figure in the draft class by almost a full yard. Broke 44 tackles on the ground and another one as a receiver to give him an elusive rating of 116.5, the second-best figure in the draft class. Improved his grade in each of the past two seasons as playing time increased. Played 62.1 percent of Notre Dame’s snaps in 2017. Is extremely hard to stop moving. Had five games in 2017 alone with 100- plus yards after contact. Has good long speed, but can take time to hit that top end and needs some open room. Was asked to pass block 71 times in 2017, surrendering one sack and four hurries across those snaps. Broke at least one tackle in every game this season until the bowl game.","Josh Adams is a big, bruising back that has been excellent for Notre Dame at getting into open space and making big plays. He has runs of at least 74 yards in every season of his college career, and when he gets into open space he can be tough to catch with excellent long speed. He doesn’t have the best short area burst and quickness, but shows the ability to read cutback lanes and find daylight. May be less successful at the NFL level where that short area quick- ness is more of a premium."
"17","RB","Kalen Ballage","Arizona State","A versatile player who has shown the ability to run the ball, catch it and return kicks well, but never put it all together in the same season. Ballage’s measurables are impressive and he is a physical specimen, so will likely see his hype rise post-combine workouts. Was exceptional during the week of practice as a receiver at the Senior Bowl, winning consistently in all practice scenarios. Coming off his lowest grade of the past three seasons, but was used confusingly at Arizona St., often as a wildcat QB (70 times over 2016-7). Only averaged 2.7 yards per carry after contact over his college career, lower than a player of his size and talent should. Broke only 15 tackles from 167 carries in 2017, and has never broken more than 16 in a season. May be a better receiver than ball carrier, but displays intriguing skills in all areas.","Kalen Ballage is a player of intriguing potential and versatility, whose stock is likely to rise in the lead up to the draft. He is an impressive athlete in a big body, and has the ability to perform well on the ground, catching the ball in the pass game and returning kicks. He was extremely impressive as a receiver during the week of Senior Bowl practices and will likely blow up at the com- bine during workouts, but teams will need to reconcile that with relatively pedestrian college production."
"18","RB","Saquon Barkley","Penn State","One of the best receiving backs in the nation, gained 1.9 yards per route run, led all FBS RBs with at least 40 targets. A threat to take it to the house on any carry, ranked fifth among all FBS RBs with a breakaway percentage of 56.8. Broke 35 tackles on 200 carries in 2017. Averaged 3.4 yards per carry after contact. Had an elusive rating of 65.6, good for 26th in the nation in 2017. Elusive rating declined each of the past two seasons. Pass protection has not been stellar, allowed at least eight total pressures in each of the last three seasons. Naturally gifted ball carrier with spectacular skills, his only negative is a natural desire to want to make the big play every carry. Can be reluctant to just hit the designed hole and take 2-3 yards when that is all that’s available.","Saquon Barkley is the most gifted back in this draft class and is a threat to take it to the house on any touch of the football. His only real negative is wanting to make that happen on every carry, occasionally turning down the correct hole to try and bounce it outside and make a bigger play happen. That can lead to him leaving yardage on the table and not taking what’s there every carry, but it is offset with his playmaking ability overall. Pass protection has been suspect, but his receiving skills are elite on passing downs."
"19","RB","Nick Chubb","Georgia","Back to his best in 2017 after injury had threatened to derail his career, Chubb averaged 3.8 yards per carry after contact, his best college mark. 2017 was the first season of his career in which he didn’t fumble the ball. 0 fumbles from 227 touches from scrimmage. Was thrown the ball just 37 times in the past four seasons, 20 of which came in 2014. Caught only 13 passes over the past three years. Had an elusive rating of 95.2, the fourth-best mark in the draft class. Broke 44 tackles from 178 carries and one tackle on two receptions. Had 18 runs of 15-plus yards in 2017. Has been touted as a top running back prospect for years, but injury threatened to torpedo his value. 2017 was an important big bounce-back season. Never played more than 50 percent of Georgia’s snaps on offense and his largest single-season workload was 237 touches in 2014.","A top high school recruit (top-50 overall), Nick Chubb was dominant as a fresh- man before a major knee injury ended his sophomore season and threatened to derail his career. He was clearly not the same player in 2016 so this past season was an important bounce-back year, showing the NFL that he hadn’t PASS BLOCK EFFICIENCY lost the ability to dominate on the ground. Has solid power, cutting ability and speed and despite the injury was never overloaded with work in college. Chubb % NOT TACKLED ON seems to have fallen out of favor with many, but could be a steal in this class."
"20","RB","Dalyn Dawkins","Colorado State","A college running back, his NFL future likely lies as a slot receiver. Lined up in the slot just 12 times in 2017, and five more snaps at wideout. Didn’t allow a sack across three years, but owed plenty to luck, as he surrendered 20 total pressures and graded negatively as a pass blocker. Showed good skills as a receiver, breaking 9 tackles after the catch on 27 receptions in 2017, averaged 13.4 yards after the catch. Broke 50 tackles on 242 carries in 2017, generated 3.2 yards per carry after contact. Can run between the tackles, but likely not for long given his size at the NFL level.","Dawkins was a versatile and productive running back this past season, but given his size, his NFL position is probably as a slot receiver. He has played sparingly in the slot or out wide before and has shown quality receiving skills to make that transition seamless. His ability to carry the ball from the back- field gives him some intriguing matchup potential at the next level, and his dynamism and ability to make defenders miss gives him some playmaking potential."
"21","RB","Royce Freeman","Oregon","Freeman’s 2015 season is tied for the best single-season overall grade any back in this draft class has on their résumé (92.4). Struggled as Oregon’s prowess on offense declined over the past couple of seasons, but was dominant in 2015. Broke 51 tackles on 243 carries in 2017, gained an average of 3.4 yards after contact and notched 823 yards after the first hit. Caught 80 of the 89 passes thrown his way over his college career, breaking 23 tackles after the catch on those 80 catches. Allowed a sack and four hurries this season in pass protection from just 49 snaps blocking. Has excellent balance and vision and usually hits the right hole at the right time, maximizing the blocking that unfolds in front of him. Doesn’t immediately play like a player of 230-plus pounds, and has a lot of miles on the clock, which will concern some teams.","Oregon’s Royce Freeman has had spectacular play at times in college, but his best season came back in 2015, and he hasn’t looked the same since, though he was markedly better in 2017. Though a big back, he doesn’t always play like it, which is both a good and bad thing depending on the play. His college career shows he can be special in the right situation, but also that he can struggle to overcome suboptimal blocking and won’t offset a bad offensive line. Workload may be a worry for some teams, but he could easily have a big early impact."
"22","RB","Derrius Guice","Lsu","A powerful runner, Guice broke 36 tackles on the ground on 216 carries in 2017. Averaged 4.1 yards per carry after contact in both 2015 and 2016, but was almost a full yard lower in 2017 (3.2). Was thrown at a total of 40 times over the past three seasons, caught 31 passes and dropped three of the incompletions. Had 12 runs of 15 or more yards in 2017, giving him a breakaway percentage of just 29.4, almost 20 points lower than the class leaders. Finished with an overall grade of 85.0 or higher in each of the past two seasons. Shows good patience, ability to cut and accelerate into holes at the line of scrimmage and generate yards at the second level. Has prototypical size and measurables, and has graded well in limited use as a receiver. Seen as one of the top backs in this class.","Derrius Guice is the latest back to come out of LSU, following in the footsteps of Leonard Fournette a season ago. Guice has prototypical size, speed and measurables and has been very productive over his college career. He ticks all of the boxes in terms of his patience and vision to hit the right hole but can occasionally fail to wow with his big play ability. He wasn’t a huge part of the passing game at LSU but graded well on those snaps when he was used and should have the ability to expand that at the NFL level."
"23","RB","Dontrell Hilliard","Tulane","Has a knack for rolling off solid hits to fall forward instead of getting stoned on contact. Shows good patience to let blocks develop and then cut to the open lane at the line of scrimmage. Has the speed to go the distance. Fumbled just once in his college career as a freshman, had 465 carries since without losing the handle. Was a significant factor as a receiver over his first two seasons (75 targets) but saw just 17 targets over his final two seasons. Not powerful but finds creases well and will maximize the space the blocking creates. Good at finding space to bounce outside and exploit blown contain or gap integrity.","Hilliard is a player that first flashed on tape when studying other prospects and earned a deeper look in his own right. He isn’t the biggest runner, but has impressive speed, vision, and fights surprisingly hard for yardage between the tackles. Was a big factor as a receiver earlier in his college career, so could prove to be a three-down weapon in the NFL, at least as a change of pace back or part of a backfield by committee. Very underrated as a prospect."
"24","RB","Nyheim Hines","Nc State","Feel for developing blocks and finding the maximum space in rushing lanes is exceptional. Throws himself around with reckless abandon, scoring multiple touchdowns because he’s willing to take flight. Very powerful for his size. Averaged 3.8 yards per carry after contact in 2017, consistently worked extra yardage after the hit. Two drops in 2017 from 33 targets, and they were both concentration drops trying to run before he had caught the ball. Can cut at speed and fire through space when he sees it open up, negating some of his lack of bulk. Outstanding speed and athleticism, needs to become more dynamic and confident as a receiver to be a real impact player at the next level.","Hines came along at exactly the right time, hot on the heels of the success of Alvin Kamara in New Orleans. He has that kind of potential but needs to become a more consistent receiver. He is a much smaller player than Kamara, but he runs hard, aggressively, and with excellent vision and feel for blocks, aspects that neutralize much of the size concerns, and he has the speed to be a home-run threat on any play. Hines runs with a reckless abandon that may expose him to injury, but it has been a major strength thus far."
"25","RB","Kerryon Johnson","Auburn","Broke 50 tackles on 285 carries in 2017, averaged 2.9 yards per carry after contact and gained 826 yards after the first hit. Has an ability to glide as a runner to the hole and then shift gears through the gap in a way reminiscent of Arian Foster. Had 16 runs of 150-plus yards, giving him a breakaway percentage of 33.8, 23rd in the draft class. Overall grade improved dramatically each season of his career, resulting in the 87.8 we saw this past season. Struggled in Auburn’s championship game and bowl game, being held to just 118 total yards on 35 total carries by Georgia and UCF combined. Didn’t allow a sack from 89 pass-blocking snaps for a pass-blocking efficiency score of 95.8, a top-25 mark in the draft class. Runs hard and can drive forward on contact, but too often goes down on the first hit and doesn’t generate what you expect from his size.","Kerryon Johnson has improved his grade every season and enters the draft after an impressive year in which he had the sixth-best grade in the class. He’s a tall, upright runner with good speed and the ability to make big plays, but too often hits the dirt from the first tackle attempt and can’t make moves in short PASS BLOCK EFFICIENCY spaces to avoid defenders. Has an interesting style of gliding to the hole and then accelerating quickly through it that proves very effective, and has shown % NOT TACKLED ON he can carry a big workload and be a factor on all three downs."
"26","RB","Ronald Jones Ii","Usc","Highest graded back in the nation, not just the draft class, in 2017, with a rushing grade of 93.1 and an overall grade of 92.4. No kind of factor in the passing game at USC. Saw just 14 targets in 2017, catching 13 of them, dropping the 14th. Saw just 40 targets over past three seasons, 18 fewer than Saquon Barkley saw in 2017 alone. Against Power 5 conference opponents, he had the 18 rushes of 15-plus yards (T-5th among all FBS RBs). Averaged 3.5 yards per carry after contact in 2017, gained 743 yards after being first hit, broke 50 tackles on 212 carries. Extremely reliable, he hits the right hole and takes what’s there the vast majority of the time. Has been a spectacular runner, but receiving is a question mark after barely featuring in the passing game at USC.","Ronald Jones has been a phenomenal ball carrier throughout his college career. He displays excellent vision, speed, moves and reliability – maximizing the available yardage on every play. His ability to play in the passing game is more of an unknown, as he saw very few targets, but he did perform solidly as a pass protector and caught the ball well when it did come his way. Was the highest graded running back not just of the draft class but in the nation in 2017. Should make an immediate impact in the NFL."
"27","RB","John Kelly","Tennessee","College career consisted of just 791 snaps, 483 of which came in 2017. Graded well in 2017, but almost all of it came in the opening three games. Failed to sustain anything like that performance over the long haul. In those opening three games, he gained 244 yards after first contact from just 56 carries (4.4 yards per attempt) and broke 20 tackles. 2017 was his only year with a significant receiving role, and he caught 82.2 percent of targets, broke 14 tackles after the catch. Eight of his 14 broken tackles came in those first three games. An undersized-but-determined and violent runner, Kelly has little mileage on the clock and can be a three-down factor at the next level.","Kelly was sparingly used at Tennessee and enters the NFL as a dynamic weapon in all facets of the game and has very little wear and tear. His grades have been impressive but very inconsistent, showing potential rather than reliable pro- duction. He has a lot of weight on a short frame but doesn’t have the powerful legs that that usually translates to. He represents an interesting and versatile option for a team looking for a complementary back who could have success early."
"28","RB","Sony Michel","Georgia","Part of a backfield partnership with Nick Chubb throughout his career, Michel has only 592 carries across four seasons. Has averaged 3.3 yards per carry after contact in his college career, and broke 127 tackles on those 592 carries. Hasn’t featured much in the passing game, with just 80 targets sent his way over four seasons, caught 63 of them (78.8). Gained 3.8 yards per carry after contact in 2017, best average of his career. Broke 36 tackles from 157 carries. Has good speed and burst and the ability to cut and change angles quickly, but is more of a straight-line runner than nifty in space. Had 16 runs of 15-plus yards in 2017, gaining 903 yards on those big plays for a breakaway percentage of 52.2. Allowed just two hurries on 52 pass-blocking snaps in 2017 and gave up just one sack in his college career.","Sony Michel is an impressive physical specimen with a big body and good straight-line speed. He shows quick cuts and the ability to get up field in a hur- ry, turning modest holes into big gains. He is ideally suited to a zone blocking offense, whether that be inside or outside zone, but doesn’t have the same short-area quickness and moves of some other backs. Was a bigger factor in the passing game than teammate Nick Chubb, and graded well in that facet over his career. Has relatively few miles on the clock given college workload."
"29","RB","Ryan Nall","Oregon State","A capable all-around back at Oregon State, Nall was a good receiver as well as ball carrier for the Beavers. Averaged 4.0 yards per carry after contact over his career. Led the nation in elusive rating in 2016, broke 54 tackles on 167 touches for a mark of 160.9. That rating fell off dramatically in 2017, as he was 45th in the draft class with a mark of just 45.7. Shows good vision, understanding of run concepts and the ability to find soft shoulders and space in tight quarters. Has nifty agility and athleticism but lacks immediate burst and acceleration to break angles and generate big plays.","Nall was an impressively productive player in 2016 and gained almost 1,000 yards on just 147 carries and broke 47 tackles along the way. He saw more touches the following year but was significantly less dynamic with the ball in his hands. He does a lot of the little things well, but just lacks the eye-popping athleticism that tends to separate running backs at the next level. Given his size, may find himself being moved to fullback or H-back where his versatility will become an asset."
"30","RB","Rashaad Penny","San Diego St.","Forced 80 missed tackles on the ground last season, No. 1 in the draft class. Had the 3rd-most rushes of 15-plus yds (30), and 2nd-most yards gained on those rushes (1135) among all FBS RBs. Has the ability to take it to the house in an instant. Ranked 7th among all FBS RBs with a 55.8 breakaway percentage. Caught 18-of-24 passes thrown his way in 2017, but dropped only one of the incompletions. Struggled to pass protect in 2017, allowed two sacks and seven additional hurries on 66 pass-blocking snaps. Was little better the year before. Dominated at the Senior Bowl with 64 yards on nine carries and a 73- yard receiving touchdown in the game. Was solid in practices. Competition in college will be a factor in his evaluation, but stepped it up at the Senior Bowl and has tape that wows.","Rashaad Penny is a powerful back who also has the quickness and speed to make big plays from anywhere on the field. He broke 80 tackles on the ground from his 276 carries, gaining more than 1,200 rushing yards after contact. Pen- ny shows excellent vision, balance and burst when carrying the football, but his work in the passing game is more of a projection. He has struggled in pass protection and hasn’t been extensively used as a receiver, so he may be limited to running downs early in his NFL career."
"31","RB","Demario Richard","Arizona State","A big, bruising back, Richard plays with good strength and fight in his runs to get through traffic. Broke 27 tackles on 185 carries in 2017, averaged 2.9 yards per carry after contact and gained 537 of his 977 rushing yards after getting hit. Saw 100 targets over his college career, but that number went down in each of the past two seasons, as did his playing time. Had six drops in 2015 on 45 targets, but hasn’t dropped a pass since as his involvement has been dialled back. Allowed three sacks over the past two seasons as a pass protector, failing to take advantage of his size and strength. Running can lack sophistication at times, and he can be very quick to just lower his head and try to run over defenders rather than find space.","Demario Richard is a big, stocky back with an incredibly solid build who attempts to win at the point of attack with blunt force trauma. He runs with good physicality and effort but lacks nuance to his play and doesn’t have the athletic gifts to scare defenders. He has experience in the passing game, but drops and poor pass protection saw that scaled back during his college career, so it is unlikely to be a strength in the NFL, leaving him as a two-down role player with good but not spectacular production."
"32","RB","Larry Rose Iii","Nmsu","Extensive college workload, with 771 carries over four seasons and another 134 receptions over 2,372 snaps. Broke 151 tackles over his career on carries, averaged 3.1 yards per carry after contact. Has seen time as a slot receiver, with 78 snaps there in 2017, more than 10 percent of his total alignment. Dropped six of 79 targets this season but has some raw talent as a receiver. Runs from defenders flashing into the hole too often on zone plays and can get himself in trouble trying to find a better option. Coming off a down year after two very good seasons in 2015-16. Was significantly less dynamic and productive in 2017.","Rose III showed some fantastic dynamic play over his college career, both as a runner and receiver, and there is plenty of raw talent to work with at the next level. Ball security is an issue, both in terms of fumbles and dropped passes, as is his vision or desire to head towards contact when that is the best course of action, but he is a player that has the ability to cause matchup problems at the next level and has a history of making big plays."
