consensus,Player Name,Position,College,draft_year,gsis_id,round,pick,max_pick,below_consensus,beast_school,beast_grade,beast_rank,beast_summary,beast_strengths,beast_weaknesses,pff_overview,pff_pros,pff_cons,pff_bottom_line,pff_extra,br_positives,br_negatives,br_article_grade,br_overall_rank,br_position_rank,br_pro_comparison,sc_APY,sc_rank_on_date_APY,sc_contract_type,sc_date_signed,sc_years,draft_value,sc_tier,sc_rank,draft_tier,sc_contract_tier,ht_in,wt_lbs,arm_in,hand_in,wing_in,dash40,vj_in,bj_in,shuttle,cone3,bench,z_ht_in,z_wt_lbs,z_arm_in,z_hand_in,z_wing_in,z_dash40,z_vj_in,z_bj_in,z_shuttle,z_cone3,z_bench
11,Deshaun Watson,QB,Clemson,2017,00-0033537,1.0,12,253,-1,,,,,,,"Watson is as tough of a prospect to evaluate as there is coming out of college. While he shows flashes with his arm, he is wildly inconsistent and lacks the key traits (pocket instincts/poise and field vision).He will need to play in an offense specifically built around him with a quarterback run game and pass- game scheme creativity. There will be games when the coverage structures will be simple and the route concepts will match up with the route combinations, and he will have success. Then there will be games where the defensive movement will give him problems or the pass rush will force him to move within the pocket and get through progressions, and he will struggle mightily. Watson is not a pure progression INT passer, with his limited pocket feel and vision, and whenever that’s the case, there will be a huge risk","Smooth, efficient delivery. Throws a very catchable ball. Displays a complete inventory of passes with zip, firm with touch. Changes the pace of the ball well when needed. Extremely athletic with the ability to escape when things break down. Good initial burst. True timing/rhythm passer, heavily reliant on pre-snap reads. Throws cover-3 and cover-2 seams very well. Best “glance” route thrower in the class. Anticipates well on timing routes outside the numbers. Flashes good go-ball touch. Good feel for back-shoulder throws to big-bodied receivers. Delivers in big moments. Confident player.","Limited instincts/feel in the pocket. Does not react smoothly when initial read is not there. Lacks consistent pocket poise, drops eyes down for a running lane instead of creating within the pocket. Played in an offense where the field was cut in half with simple reads. Field looks small to him; limited vision to get through progressions. Relatively slow post-snap processing speed. More interested in taking a yes/no go-ball on the outside than reading out the concept of the play. Overall not as accurate as he should be considering his style of play. Inaccurate on many easy throws 70.0 in the short passing game. Played with elite playmakers around him, will have to learn how to function without big-play receivers 40.0 on the outside.",,,,,,,,,39000000.0,2.0,Extension,2020-09-04,4.0,-1,real_contract,2.0,consensus,cornerstone,,,,,,,,,,,,,,,,,,,,,,
12,Reuben Foster,LB,Alabama,2017,00-0033887,1.0,31,253,-19,,,,,,,,,,,,,,,,,,,,,,,-19,out_of_league,,consensus,out_of_league,,,,,,,,,,,,,,,,,,,,,,
13,Mike Williams,WR,Clemson,2017,00-0033536,1.0,7,253,6,,,,,,,"Mike Williams was possibly the deciding factor in Clemson claiming revenge against Alabama in a rematch of the 2015 National Championship. He displayed all the qualities that make him such anexciting prospect against NFL-caliber defensive backs. As well as presenting opponents with a matchup problem, Williams also represents a reliable target underneath. He projects as a receiver capable of using his body to move the chains while adding a downfield component to the passing game due to his ability to win at the catch point with strong ball skills.","Dominates at the catch point, uses his giant frame to tower over defensive backs Huge catch radius and wing span facilitate spectacular grabs Deep threat, uses his size to box out defensive backs Tracks the ball exceptionally downfield, a constant threat on fades and back-shoulder throws Effective over the middle, made a number of catches in traffic Uses his length to separate at the line of scrimmage, consistently moves the chains on third down Difficult to defend running the slant, makes tough conversions in key games situations Strong hands – dropped only 5.77 percent of opportunities in 2016 (18th in FBS) Physical option on bubble screens and other quick throws 1st down conversion","Occasional concentration lapses resulted in a couple of simple drops May not create enough separation to fit with every quarterback style. Needs aggressive passer to allow him to win at the catch point in contested situations Not the most dynamic, unlikely to convert short gains into big plays underneath – averaged only 4.0 yards after catch per reception in 2016 Suffered a season-ending neck injury in 2015",,,,,,,,,20000000.0,4.0,UFA,2022-03-08,3.0,6,real_contract,4.0,consensus,cornerstone,,,,,,,,,,,,,,,,,,,,,,
14,Derek Barnett,EDGE,Tennessee,2017,00-0033876,1.0,14,253,0,,,,,,,"Barnett’s three-year production should not go overlooked during the draft process, though it’s likely that 10 he won’t appeal to teams looking for a classic mold of edge defender. He knows how to beat blocks, disrupt in the running game, and get around the edge as a pass-rusher and his production should Derek Barnett Draft Class Avgtranslate to the next level, even if he doesn’t have the classic look of a Myles Garrett or Jadeveon Clowney.","Knows how to take out second blocker in run game Good balance when rushing around the edge Plays with good pad level in the run game, allowing him to shoot gaps, disrupt runs and break free on twists and stunts Wins on first contact more often than not in the run game, jarring blockers backward Can overpower tight ends when lined up at head up (6-tech), can be dominant run defender in that role Excellent bend around the corner, big chunk of his pressures he simply gets lower than the opposing tackle 45 of his 78 pressures came to the outside shoulder of the offensive tackle in 2016 Pressured quarterback on 20.0 percent of his rushes, well above the NCAA average of 10 percent. Will jump the snap, good get-off on a number of his pressures Good feel for cut blocks, can work through them and disrupt the short passing game Capable spin move allows him to get inside offensive tackles",Doesn’t always shed as cleanly and consistently as needed in run game Can get caught too far upfield on the front side of zone plays Rarely wins with a bullrush; nearly every pressure came to the inside or outside Can get moved of the ball against double teams,,,,,,,,,7000000.0,40.0,UFA,2022-03-24,2.0,0,real_contract,40.0,consensus,cornerstone,,,,,,,,,,,,,,,,,,,,,,
15,Corey Davis,WR,Western Michigan,2017,00-0033871,1.0,5,253,10,,,,,,,Davis can be a Day 1 starter opposite a true primary receiver who he can complement. Initially he will heavily need to rely on his sharp route-running as he is unlikely to outmuscle or outrun defensive backs in the early stages of his career. He is also capable of making big plays by using double moves and exploiting open holes in zone coverage.,"Excellent route-runner who can separate really well due to his sharp route-running Sells double moves exceptionally well, especially with his head fake Uses his hands subtly to create separation Demonstrates attention to detail and savviness on tough sideline catches by tapping both feet inbounds Does not let the ball in to his body and uses his hands to catch passes, which extends his catch radius and allows him to turn up field quicker 1st down conversion Excels at making adjustments when the football is in the air (e.g. his touchdown vs. Wisconsin) Dangerous in the open field with the ball in his hands Lined up all over the field and ran all routes at Western Michigan, including trick plays such as jet sweeps Knows how to find space in the middle of the field in against zone coverage Can finish receptions even when absorbing a hit at the catch point Secures the ball well and had only one fumble on 266 receptions over the last three years","Lacks physicality to consistently win 50-50 passes, especially jump balls Not elusive enough to create big plays from underneath passes Seems to be unable to separate using pure straight-line speed His number of drops gradually increased every season as he had 11 in his senior year, which were mainly due to concentration lapses on easy catches",,,,,,,,,12500000.0,20.0,UFA,2021-03-18,3.0,10,real_contract,20.0,consensus,cornerstone,,,,,,,,,,,,,,,,,,,,,,
16,Haason Reddick,LB,Temple,2017,00-0033875,1.0,13,253,3,,,,,,,"Reddick is an explosive athlete that can consistently win the edge when rushing the passer, and has the physicality to get off blockers at all three levels. While teams will certainly want to take advantage of his pass-rush ability first, he also shows the instincts, speed and change of direction to help on coverage drops as well. Because of this, he is a scheme-independent player, and despite his frequent overrunning of plays, he warrants selection in the first round.","Athleticism he showed at combine pops on film; explosive first step, changes directions in a flash. Extremely effective on stunts because of his athleticism. Despite tendency to over-pursue he does a good job of sniffing out plays from the backside when left uncovered. Can flatten out and turn the corner. Able to disengage from blockers at line of scrimmage because of his quick feet and willingness to initiate contact; size doesn’t appear to limit him against blocks. Consistently one of the first men moving at the snap, a sign of excellent instincts and anticipation. Second among all draft-eligible FBS 3-4 OLBs in run stop percentage despite 10 missed tackles against the run. Gave up receptions on just eight of 22 throws into his coverage in 2016 for a total of 99 yards allowed with no touchdowns against, one interception and two breakups. Shows off outstanding top speed when pursuing from the back side.","Struggles to break down, get square and tackle consistently. Missed 15 tackles on only 76 attempts in 2016 and missed 28 on 150 attempts over last three seasons. Overruns too many plays because of his aggressiveness and desire to penetrate into the backfield. Not nearly as productive when rushing from the right side; 11 pressures on 115 rushes. 54th out of 61 qualifying 3-4 OLBs in tackling efficiency. May lack the bulk to consistently hold up at the line of scrimmage against NFL tackles. Needs to learn a countermove for rushing the passer; large split in productivity between rushing off each edge likely explained by physical comfort level of bending the left side on speed rushes over the right.",,,,,,,,,6000000.0,44.0,UFA,2021-03-23,1.0,3,real_contract,44.0,consensus,cornerstone,,,,,,,,,,,,,,,,,,,,,,
17,John Ross,WR,Washington,2017,00-0033460,1.0,9,253,8,,,,,,,"If teams look past Ross’ small stature, they’ll be getting a special receiver. While his speed is obviously his biggest asset, it’s not all Ross has. He knows how to get open using his footwork and can beat press coverage off the line with both his feet and his hands. He catches the ball consistently and once it’s in his hands, there’s very few better at seeing the field and finding open space. Ross can line up all over the field and make plays. Couple all of that with his return abilities and Ross has the potential to be one 15.3 663 6.7 9.9 21 6 of if not the most exciting receiver to come out of this draft.","He has incredible game speed, can blow right by a corner even when they’re playing 10 yards off. Quick in and out of breaks, doesn’t set them up or give them away. Can beat press coverage with release speed as well as use of hands. Incredible footwork. Sets up a lot of double moves and fakes using his feet, has made more than a few defenders look silly this way. Catches with his hands, and is very strong with the ball. Dropped only six of 105 catchable passes the last two years. Great vision with the ball in his hands, can find open space and turn a nothing play into a big gain with his ability after the catch. Runs a variety of routes, doesn’t just run straight downfield every play. Has one of the best slant 1st down conversion routes in college football. Great ability to track the ball in the air and adjust his route accordingly. Can catch over the shoulder without breaking stride. Adds an extra skill in his ability to return kicks. Willing blocker, will take on corner and try to seal him out of play.","Smaller receiver that can be pushed around a bit. While he can beat press coverage, there were times where it threw him off his route. Doesn’t have the strength to box out corners in tight situations. Can be muscled at catch point. Won’t win a lot of 50/50 jump balls. Injury history brings some concerns. He tore his MCL in the 2014 season, then missed the entire 2015 season with a torn ACL.",,,,,,,,,2250000.0,72.0,UFA,2021-03-17,1.0,8,real_contract,72.0,consensus,53_man,,,,,,,,,,,,,,,,,,,,,,
18,Marlon Humphrey,CB,Alabama,2017,00-0033281,1.0,16,253,2,,,,,,,"Humphrey played a big role on a very good Alabama defense, but will face some questions as he transitions to the next level. He has the size and length to play press coverage, but he loses far too often at the catch point, particularly down the field. Humphrey’s best work often comes in zone coverage and he may be able to help a team as a safety. Despite the question marks, make no mistake about it, if Humphrey lands at the right spot, he can be a very good player in the .","Good fit in zone coverage. Excels when the play is in front of him — big part of the reason why a switch to safety might make the most sense. Fantastic at reading and working off of blocks on wide receiver screens. Gave up just three yards on wide receiver screens in 2016. Can hit in a big way and knows how to use his body to subtly cut off receivers from the ball. 20 of the 30 incompletions on throws into his coverage came via an interception, pass breakup, cutting a receiver off or getting close enough in coverage to force a more difficult catch. Fairly sure tackler, missing just six tackles throughout 2016. At 6-feet-1, has the size that NFL team will covet to develop as a press man corner","(INT+PD/Targets) As good as he is with the play in front of him, he definitely struggled on deep passes. Gave up an average of 16.3 yards per catch in 2016, and 17.4 in 2015. Struggles to find the ball in the air and play through the receiver’s hands, leading to too many big plays Long speed is an issue. Humphrey is not slow, but also not blazing fast. How will he hold up against 1st down % speedsters in the NFL? Played left cornerback almost exclusively over the past two seasons, so no experience in the slot or tracking receivers. His most natural position might not actually be at cornerback. Given how much he has impressed with the play in front of him, and his struggles on deep balls, Humphrey may be a better fit at safety in the NFL.",,,,,,,,,19500000.0,2.0,Extension,2020-10-01,5.0,2,real_contract,2.0,consensus,cornerstone,,,,,,,,,,,,,,,,,,,,,,
19,Patrick Mahomes,QB,Texas Tech,2017,00-0033873,1.0,10,253,9,,,,,,,"Mahomes is as interesting as a prospect as there is at quarterback that comes with high risk/high reward. His arm is as good as any quarterback in the playing right now. The natural passing instincts as far as sliding and feeling pass-rushers in the pocket, to seeing in front of the throw and 40 adjusting to the type of throw needed, is special. His lack of discipline in the pocket with footwork, 30 bailing on clean pockets, and decision making is a big concern. Some of the bailing on pockets can be attributed to how much “rush three drop eight into coverage” he saw, which can lead to playing outside 0 of structure to find passing lanes more often. Coming from a system with everything so spread out and defined passing lanes, there will be an adjustment period needed for the game and seeingtighter throwing lanes. Mahomes is not likely a Day 1 starter in the NFL but is certainly worth a first-round selection as a potential big hit as a franchise quarterback.","Smooth, whip release with power and touch. Arm is special and may define the term “arm talent.” Can make any throw with accuracy and power to and level/area of the field, from every type of platform and arm angle. Incredibly instinctive, intuitive player with a good feel for passing game. Athletic in the pocket with ability to make rushers miss, or shed with strength. Anticipates well. Time from locating receiver to ball out of his hand is extremely quick. Overall has good vision and ability to see multiple defenders in his reads. Poise to make any throw no matter what the chaos is around him in the pocket. Plays outside of the structure of the offense as well as anyone in the NFL does right now. Gritty playmaker. Wants the ball in his hands and delivers when his team needs it most.","Plays undisciplined too often. Inconsistent footwork, loses his base but tends to make up for it with his arm. Tendency to drift in the pocket in all directions when it’s not necessary. Bad habit of breaking from clean pockets too early when the pass rush dictates him to stay in there. Forces too many throws and tries for the hero play too often. Steep learning curve coming from the Texas Tech spread/wide open system.",,,,,,,,,45000000.0,1.0,Extension,2020-07-06,10.0,9,real_contract,1.0,consensus,cornerstone,,,,,,,,,,,,,,,,,,,,,,
20,Dalvin Cook,RB,Florida State,2017,00-0033893,2.0,41,253,-21,,,,,,,"Cook’s big-play ability makes him a special player. When given a hole, he can take it to the house,and even when his blocking isn’t good, he has the ability to maximize what is there. Cook’s fumbling problems, like his hamstring, flares up too frequently, so there are some concerns. Despite those issues, Cook’s name will still be called early because of his prodigious potential.","Outstanding vision, patience to allow blocks to develop playside but also decisive when presented with backside opportunities Breaks long runs in spite of his blocking. Home run waiting to happen Great fit in an outside zone scheme, best using his instincts to pick lanes and athleticism on the move Elite acceleration ensures consistent big-play potential Sufficient long speed to outrun defenders. Angle-changing speed Able to make defenders miss at full speed, finished tops in elusive rating Aggressive north/south runner, rarely looks to bounce plays outside Not always searching for big play. Rarely takes losses, keeps the offense ahead of the chains Even behind subpar run-blocking in 2016, made the most of it and showed the ability to take what is given","Ball security – fumbled 14 times in 763 touches Failed to dominate as receiver out of backfield, although inhibited by scheme Ran a limited number of routes Didn’t always display the best hands, although improved as a junior Suffered nagging muscular injuries throughout his career at FSU",,,,,,,,,12600000.0,6.0,Extension,2020-09-12,5.0,-21,real_contract,6.0,slide,cornerstone,,,,,,,,,,,,,,,,,,,,,,
21,Forrest Lamp,IOL,Western Kentucky,2017,00-0033542,2.0,38,253,-17,,,,,,,"Lamp has three years of strong grading at left tackle, but he’ll likely move to the interior at the next 0 Pass Block Run Block level. An team will likely look to emulate the recent success of tackle-to-guard transitions like ZackMartin of the Dallas Cowboys and Brandon Scherff of the Washington Redskins, though given the weak offensive tackle play around the league, it wouldn’t be the worst idea to give Lamp an opportunity there first before kicking him inside. Lamp wins more than he loses, and demonstrates the power and athleticism to be a good NFL lineman.","Does a good job being patient with punch and not giving up hands to get knocked down. Allowed only 31 pressures on 1,620 attempts over the last three years. Good compact body and frame nice strike and works low to high. Demonstrates good balance in lower body in pass- and run-blocks. Can locate second-level defenders in the run game. Shows good ability on backside cut blocks. Good fit for a zone-blocking scheme. Consistently wins. Rarely loses blocks. Versatility can probably play tackle or guard, perhaps even center. Showed well in big games. Allowed only five total pressures combined against LSU in 2015 and","Right or wrong, short arms will likely limit his opportunity to play tackle in the NFL. Has the footwork to play tackle, but physical limitations could keep him from elite level, making the Didn’t see great talent week in and week out. blocks % WKU’s offensive scheme put defenders on their toes not real aggressive, Wasn’t asked to over perform in run-blocking. Not overly fleet of foot in space. Possibly size if he has to play tackle although not overly concerning.",,,,,,,,,1057500.0,40.0,UFA,2021-04-15,1.0,-17,real_contract,40.0,consensus,53_man,,,,,,,,,,,,,,,,,,,,,,
22,Ryan Ramczyk,OT,Wisconsin,2017,00-0033888,1.0,32,253,-10,,,,,,,"Ramczyk is the likely consensus top prospect in this year’s draft class despite coming off hip surgery and despite having just one year of football on his resume. He isn’t the stereotypical physically dominant lineman we’re used to seeing out of Wisconsin, as his game is more about his foot quickness and balance. He faced a slew of outstanding edge defenders in the Big Ten this year (also in games against and Western Michigan), and gave up just one sack, three hits and eight hurries on the year, and never more than two pressures in any single game. He is scheme-versatile as he can make all of the necessary blocks in the run game while doubling as one of the best pass-protectors in the class.","Quick first step off snap, both on run blocks and pass sets. Sets down appropriately, allows him to anchor as well as stay under control on shuffle. Handles stunts well. Doesn’t look like a first-year FBS starter. Can cut off the edge with ease, and do it under control to maintain against inside counters. Natural strength allows him to absorb contact without giving up ground. Fluid change of direction allows him to adjust to moving targets at the second level as well as when picking up stunts . First-step quickness allows him to make reach blocks/backside cutoffs . Did not give up more than two pressures in any single game in 2016, and gave up zero pressures in eight different games. Has the power to create movement at the line of scrimmage in the run game and the athleticism to make second-level blocks.","Hip surgery immediately after the season. Leans into run blocks, will at times fall off early. Narrow base on run blocks. blocks % Either lunges when he punches or catches. Did have some struggles against better pass-rushers. Because he doesn’t punch with consistency in pass pro he allows defenders to get into his frame More of a positional run blocker than true road-grader.",,,,,,,,,19200000.0,1.0,Extension,2021-06-30,5.0,-10,real_contract,1.0,consensus,cornerstone,,,,,,,,,,,,,,,,,,,,,,
